iter	RMSE
162	112555.7268
163	112415.0102
164	112286.3761
165	112132.1554
166	111999.8908
167	111859.2482
168	111743.9756
169	111633.5416
170	111499.123
171	111228.8408
172	111087.0851
173	110939.5125
174	110824.749
175	110725.2006
176	110626.6936
177	110518.6055
178	110396.9981
179	110309.314
180	110189.9483
181	110106.92
182	109976.8766
183	109851.0176
184	109634.9625
185	109514.8763
186	109421.6843
187	109289.1239
188	109133.2266
189	109003.0579
190	108889.1278
191	108756.0881
192	108636.9405
193	108504.8604
194	108381.5543
195	108286.5301
196	108180.666
197	108100.3391
198	107972.3528
199	107828.7224
200	107718.7512
201	107638.5571
202	107534.5114
203	107434.0762
204	107353.6986
205	107190.5204
206	107086.3752
207	106872.0518
208	106777.7058
209	106621.1183
210	106368.124
211	106187.9948
212	106097.9132
213	106035.2259
214	105958.2136
215	105860.2442
216	105745.1722
217	105674.1748
218	105576.147
219	105416.9652
220	105327.6963
221	105159.5743
222	104957.9395
223	104852.4801
224	104752.2025
225	104652.4891
226	104516.132
227	104465.1155
228	104398.4796
229	104327.7964
230	104226.9063
231	104131.6567
232	104055.8231
233	103984.7962
234	103745.5115
235	103653.3142
236	103574.6118
237	103457.3185
238	103292.6227
239	103179.1463
240	103062.0733
241	102975.6908
242	102771.6146
243	102706.5379
244	102627.6297
245	102545.2977
246	102457.3979
247	102186.4614
248	102082.6108
249	101987.8792
250	101889.2786
251	101787.6089
252	101725.1118
253	101664.4714
254	101588.4654
255	101524.024
256	101444.2491
257	101330.4446
258	101258.4066
259	101168.1586
260	101076.7052
261	101014.7576
262	100943.3614
263	100791.1717
264	100684.7061
265	100625.2131
266	100548.1153
267	100373.5482
268	100297.6008
269	100236.0458
270	100157.7032
271	100073.7759
272	99962.09413
273	99833.06961
274	99761.29529
275	99686.49159
276	99579.45859
277	99482.20885
278	99374.91499
279	99300.03019
280	99214.26478
281	99126.81596
282	99062.00439
283	98873.00293
284	98818.91704
285	98727.56512
286	98612.82961
287	98546.36242
288	98408.9654
289	98310.35026
290	98234.96827
291	98154.53266
292	97989.50805
293	97904.32385
294	97822.55288
295	97785.33189
296	97685.09613
297	97591.95222
298	97510.51144
299	97439.35656
300	97353.74299
301	97284.09735
302	97201.29446
303	97115.22167
304	97056.3561
305	96982.92523
306	96871.60371
307	96797.51992
308	96720.07403
309	96649.65786
310	96600.65842
311	96497.93332
312	96442.66723
313	96392.37662
314	96288.68223
315	96173.6112
316	96057.03847
317	95969.8578
318	95873.09989
319	95782.65291
320	95689.96517
321	95565.11543
322	95493.85731
323	95448.44029
324	95381.83547
325	95310.70976
326	95238.57509
327	95139.24304
328	95022.1967
329	94957.16364
330	94889.5867
331	94765.99975
332	94700.5968
333	94586.26916
334	94497.63292
335	94392.07242
336	94318.36393
337	94251.58337
338	94169.13294
339	94130.97415
340	94062.21028
341	93995.67489
342	93914.47849
343	93847.39714
344	93782.25605
345	93713.61654
346	93643.24375
347	93577.94141
348	93509.53017
349	93451.24535
350	93358.56295
351	93282.86235
352	93196.67514
353	93131.91903
354	93076.10551
355	93021.5232
356	92976.9944
357	92873.96614
358	92817.29076
359	92765.54379
360	92675.38889
361	92612.17706
362	92530.87434
363	92458.66443
364	92396.30793
365	92320.05479
366	92268.04899
367	92217.41753
368	92095.39227
369	92024.46692
370	91944.70573
371	91887.67955
372	91800.86466
373	91739.77535
374	91688.1522
375	91634.91872
376	91554.99781
377	91493.63864
378	91415.35171
379	91378.81703
380	91340.9559
381	91286.82002
382	91213.24964
383	91134.76614
384	91056.40189
385	90982.73527
386	90928.09385
387	90861.08398
388	90776.49788
389	90712.89235
390	90633.84726
391	90567.77274
392	90495.40352
393	90409.2596
394	90328.46413
395	90257.34088
396	90211.94297
397	90145.95744
398	90089.98603
399	90040.55759
